"University Hospital Basel, Clinical Bacteriology",BEL; CHE; DEU; FRA; GNQ; LIE,2347
"Genomics and Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",PER; USA,2225
National Institute for Public Health and the Environment (RIVM),NLD; UKR,2175
Wisconsin State Laboratory of Hygiene Communicable Disease Division,USA,2127
California Department of Public Health,USA,2122
"Laboratoire national de santé, Microbiology, Microbial Genomics Platform",LUX,2048
"Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",USA,2039
Microbial Genome Sequencing Center,USA,1992
"Lauring Lab, University of Michigan, Department of Microbiology and Immunology",USA,1988
The Public Health Agency of Sweden,SWE,1949
"Wadsworth Center, New York State Department.of Health",USA,1910
Instituto Nacional de Saude (INSA),PRT,1893
WHO National Influenza Centre Russian Federation,BLR; RUS; UKR,1794
"Minnesota Department of Health, Public Health Laboratory",USA,1734
MSHS Pathogen Surveillance Program,CHL; USA,1726
New York City Public Health Laboratory,USA,1712
"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",AUT; DEU; ITA; LIE; SVK,1710
"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland",FIN; POL,1694
Alberta Precision Labs (APL),CAN,1662
CNR Virus des Infections Respiratoires - France SUD,FRA; UKR,1644
GIGA Medical Genomics,BEL; RWA,1581
"KU Leuven, Rega Institute, Clinical and Epidemiological Virology",BEL; FRA; NLD,1546
"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",BLZ; GTM; JAM; KOR; USA,1518
"Infectious Disease Program, Broad Institute of Harvard and MIT",USA,1511
Virginia DCLS,USA,1505
McMaster University,CAN,1480
"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency",KOR,1438
National Institute for Communicable Diseases of the National Health Laboratory Service,MUS; SWZ; ZAF,1420
Hudsonalpha Genome Sequencing Center,USA,1402
"Pandemic Response Lab, R&D",USA,1391
"NCDC Delhi, Biotechnology Division INSACOG",IND,1305
"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ",BOL; BRA; GTM,1280
Arizona State Public Health Laboratory,USA,1274
NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,AUS,1262
Johns Hopkins Hospital Department of Pathology,USA,1235
TIGEM,ITA,1196
"Heinrich Pette Institute, Leibniz Institute for Experimental Virology",DEU,1192
"Departments of Pathology and Medicine, New York University School of Medicine",URY; USA,1169
"Center for Global Health, University of New Mexico Health Sciences Center",USA,1153
Kabara Cancer Research Institute,USA,1149
"Laboratoire national de sante, Microbiology, Microbial Genomics Platform",LUX,1145
"National Public Health Laboratory, National Centre for Infectious Diseases",BRN; PNG; SGP,1115
G42 Healthcare,ARE,1067
Philippine Genome Center,PHL,1059
Israel National Consortium for SARS-CoV-2 sequencing,ISR; PSE,1046
"Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)",GRC,1038
"Chiu Laboratory, University of California, San Francisco",USA,1002
"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",DZA; FRA,984
"Charité Universitätsmedizin Berlin, Institut für Virologie",BLR; DEU; KOS,982
National Virus Reference Laboratory,IRL,975
TXDSHS,USA,953
Ginkgo Bioworks Clinical Laboratory,USA,947
Kansas Health and Environmental Lab,USA,938
Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL),AUS; TLS,932
Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST),SAU,890
Laboratory for Functional Genome Analysis; Dept. Genomics; Gene Center of the LMU Munich,DEU,889
CSIR-Centre for Cellular and Molecular Biology,IND,869
Ontario Institute for Cancer Research,CAN,861
"Wadsworth Center, New York State Department of Health",USA,842
Institute of Environmental Science and Research (ESR),NZL,834
Grubaugh Lab - Yale School of Public Health,DOM; USA,824
New Mexico Department of Health Scientific Laboratory,USA,817
Gujarat Biotechnology Research Centre,IND,816
"State Laboratories Division, Hawaii State Department of Health",USA,809
"Weill Cornell Medical College - Qatar (WCM-Q), Genomics Core Laboratory / Qatar Genome Project (QGP)",QAT,809
"Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)",QAT,797
Nevada State Public Health Laboratory,USA,788
Instituto de Salud Publica de Chile,CHL; ECU,786
Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium),ARG,770
NHLS/UCT,ZAF,754
"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",KOR,732
"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",AUS,710
UCSC Genomics Institute,USA,707
"Hematopathology Laboratory, ACTREC, TMC",IND,700
Gorgas Memorial Laboratory of Health Studies,PAN,695
"BTC, Khalifa University",ARE,693
Centro de Secuenciación NASERTIC,ESP,692
Ginkgo Bioworks Clinical Laboratory,USA,668
"Department of Health Technology and Informatics, The Hong Kong Polytechnic University",HKG,663
Providence St. Joseph Health Molecular Genomics Laboratory,USA,650
Ozer Lab,USA,648
University at Buffalo Genomics and Bioinformatics Core,USA,641
Missouri State Public Health Laboratory,USA,631
Massachusetts State Public Health Laboratory,USA,629
"IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat",ESP; FRA,627
"Innovative Genomics Institute, UC Berkeley",USA,624
NIV Influenza,IND,623
"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory",BRA,609
"Tewhey Lab, The Jackson Laboratory",USA,607
Public Health Wales Microbiology Cardiff Wales Specialist Virology Centre,GBR,600
Colorado Department of Puplic Health and Environment,USA,598
Moderna Inc.,USA,596
KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi,KEN,596
New York Genome Center,MEX; USA,585
Instituto Nacional de Medicina Genomica,MEX,573
"Department of Microbiology, The University of Hong Kong",HKG,572
Instituto de Biotecnología de la UNAM,MEX,570
"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery",USA,561
Department of Microbiology,CHN; HKG; SGP,556
Robert Koch Institute,DEU,546
Idaho Bureau of Laboratories,USA,545
"Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick",AUS,528
Latvian Biomedical Research and Study Centre,LVA,524
"Department of Infectious Diseases, Kobe Institute of Health",JPN,516
"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",COD,514
"Epigenetics, Saarland University",DEU,512
Ohio Department of Health Laboratory,USA,511
Instituto de Salud Carlos III,AND; ESP,496
National Institute of Biomedical Genomics,IND,494
United States Air Force School of Aerospace Medicine,IRQ; ROU; USA,487
PathWest Laboratory Medicine WA Microbial Surveillance Unit,AUS,482
Center for Microbiome Research,USA,475
WallauLab on behalf of Fiocruz COVID-19 Genomic Surveillance Network,BRA,467
"Department of Virology, Pitié-Salpêtrière hospital",FRA,466
Israel Central Virology laboratory,ISR; PSE,460
UNZAVET and PATH,ZMB,457
CSIR-Centre for Cellular and Molecular Biology-INSACOG,IND,456
Karolinska University Hospital,SWE,455
"Center for Personalized Medicine, Children's Hospital Los Angeles",USA,452
Bioinformatics Laboratory / LNCC,BRA,450
Public Health Agency of Canada (PHAC) National Microbiology Laboratory,CAN,449
Irish Coronavirus Sequencing Consortium - Teagasc Moorepark,IRL,449
Institut Pateur de Dakar,GIN; MDG,446
Los Angeles County PHL,USA,421
MRCG at LSHTM Genomics lab,GMB,416
Instituto de Medicina Tropical de Sao Paulo,BRA,413
"Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia",BOL; PER,400
"Medical Microbiology, Maastricht University Medical Centre",NLD,398
"Vilnius university hospital Santaros Klinikos, Center of Laboratory Medicine",LTU; LVA,386
Hong Kong Department of Health,HKG,385
Instituto Nacional de Saude (INSA) and Instituto Gulbenkian de Ciencia (IGC),PRT,379
Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health,ESP,375
National Institute of Biomedical Genomics – INSACOG,IND,373
"Department of Laboratory Medicine, Tan Tock Seng Hospital",SGP,368
NCDC/CSIR-IGIB,IND,367
1. Genome Research Center for Health (CRGS) / 2. Laboratory of Molecular Medicine and Genomics(LMMGe) / 3. Center for Research in Pure and Applied Mathematics (CRMPA),ITA,366
SA Pathology,AUS,354
Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),MEX,351
Dep. Of Oncology and Hemato-Oncology University of Milan,ITA,346
"Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)",MEX,343
Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,BRA,342
CDFD-INSACOG,IND,342
"Microbial Genome Sequencing Center; Microbial Genomic Epidemiology Laboratory, University of Pittsburgh",USA,341
Epiclin,BRA,340
"van Bakel Laboratory, Genetics and Genomics Sciences, Icahn School of Medicine at Mount Sinai",AUS; USA,336
Keio University School of Medicine,JPN,335
Irish Coronavirus Sequencing Consortium - Maynooth University,IRL,335
CSIR Institute of Genomics and Integrative Biology,IND,329
"Cedars-Sinai Medical Center, Molecular Pathology Laboratory of Department of Pathology & Laboratory Medicine and Genomic Core",USA,329
Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú,PER,328
"Institute of Virology, Clinial Virus Genomics, Medical Center, University of Freiburg, Freiburg, Germany",DEU,321
Dirk Dittmer,USA,320
Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca,ESP,312
"Genomic Research Lab, BCSIR",BGD,310
"Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",IND,307
Virginia Division of Consolidated Laboratory Services,USA,304
COVID-19 Network Investigations (CONI) Alliance,THA,301
Quadram Institute Bioscience,LBN; ZWE,300
"Department of Microbiology, Institute of Biomedicine and Translational Medicine, University of Tartu",EST,298
Istituto Zooprofilattico Sperimentale della Puglia e della Basilicata,ITA,293
"Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital",ZAF,291
Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú,PER,290
Maryland Public Health Laboratory,USA,287
"North Dakota Department of Health, Public Health Laboratory",USA,283
UNC Charlotte Environmental Monitoring Laboratory,USA,283
Alaska State Virology Laboratory,USA,280
Onderzoeksgroep Virologie,BEL,280
State Veterinary Institute Prague,CZE,279
"Protzer Lab, 	Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",DEU,277
Instituto de Medicina Tropical da Univesidade de São Paulo,BRA,273
"Public Health Virology Laboratory, Forensic and Scientific Services (PHV-FSS)",AUS,271
"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",AUS,271
Delaware Public Health Lab,USA,269
"Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia",BRA,263
DC Public Health Lab/ Dept. of Forensic Sciences,USA,263
Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”,ITA,261
University of Montana Genomics Core (UMGC),USA,258
Northwestern University - Ozer Lab,USA,254
"U.O. Microbiologia e Virologia, Azienda Provinciale per i Servizi Sanitari Provincia Autonoma di Trento, Ospedale S.Chiara",ITA,253
International Livestock Research Institute,IND; KEN,253
"Protzer Lab, Gagneur Lab, Robert Koch Institut",DEU,251
State Key Laboratory of Biotherapy of Sichuan University,CHN,249
"Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955",FRA,245
"National Laboratory of Virology, Szentágothai Research Centre",HUN,241
Naval Medical Research Center Biological Defense Research Directorate,USA,237
"Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories",USA,237
Microbiology Department. Complexo Hospitalario Universitario de Vigo,ESP,235
Istituto Zooprofilattico Sperimentale delle Venezie,ITA,232
Texas Department of State Health Services (TXDSHS),USA,232
WVU and Marshall University Combined Genomics Core Facilities,USA,230
"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",CRI,228
"Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",DEU,227
"FEDERAL RESEARCH AND CLINICAL CENTER OF PHYSICAL-CHEMICAL MEDICINE OF FEDERAL MEDICAL BIOLOGICAL AGENCY, Academic Consortium",RUS,226
MD PHL,USA,223
"Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick",AUS,223
Coordenação Geral de Laboratórios de Saúde Pública (CGLAB/DAEVS/SVS/MS),BRA,222
"Centers for Disease Control and Prevention, Dengue Branch",USA,220
Instituto Nacional de Enfermedades Respiratorias (INER),MEX,217
"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics",LUX,215
Bielefeld University,DEU,215
CDFD -INSACOG,IND,214
"KEMRI-Wellcome Trust Research Programme,Kilifi",KEN,214
Fulgent Genetics,USA,213
Stern Lab,ISR,212
"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria",NGA,211
"Elling and Cochella laboratories, IMBA/IMP",AUT,209
Instituto Nacional Enfermedades Infecciosas C.G.Malbran,ARG,208
"Center of Scientific Excellence for Influenza Viruses (CSEIV), National Research Centre",EGY,206
CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie,FRA,205
Fukuoka Institute of Health and Environmental Sciences,JPN,204
Dr. Suman Das Lab - Vanderbilt University Medical Center (VUMC) (https://my.vanderbilt.edu/daslab/),USA,201
Center of Excellence in Clinical Virology,THA,200
Institut Pasteur de Dakar,CMR; SEN,199
"Respiratory Viruses Branch,  Centers for Disease Control and Prevention",DOM; USA,196
"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity",AUS,193
"Florida Bureau of Public Health Laboratories, Florida Department of Health",USA,193
"Genomic Laboratory (GLAB), Istanbul Technical University",TUR,192
"Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University",GAB; JPN,191
Virginia Division of Consolidated Laboratory Services (DCLS),USA,191
Walk Lab Montana State University,USA,190
Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemilology,RUS,189
Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium),ARG,188
"CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.",ZWE,188
"Virology Laboratory, Scientific Department, Army Medical Center",ITA,187
Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory,IRL,187
"Department of Infection, Immunity and Cardiovascular Disease, The Florey Institute, The Medical School, University of Sheffield",GBR,186
"KU Leuven, Clinical and Epidemiological Virology",BEL; FRA,184
Laboratory of genomics and metagenomics,CHE,180
Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium),ARG,180
Where sequence data have been generated and submitted to GISAID,UGA,177
National Centre For Cell Science,IND,176
Child Health Research Foundation,BGD,174
"Laboratory of Parasitic Diseases, Systems Genomics Section, National Institute of Allergy and Infectious Diseases, National Institutes of Health",USA,173
"Smith Laboratory, Centre de Recherche CHU Sainte-Justine",CAN,172
Statens Serum Institut  Bioinformatics and Microbial Genomics,DNK,171
Laboratorio Mixto de Biotecnología Acuática (LMBA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium),ARG,170
OSU Center for Genome Research and Biocomputing,USA,168
Instituto Gulbenkian de Ciencia,PRT,167
ILBS,IND,165
Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemiology,RUS,164
"USAMRD-A, Basic Science Laboratory",KEN,160
University of Washington Virology Lab,USA,160
Ministry of Health Turkey,TUR,160
Centre Muraz,BFA,158
"Population Medicine and Diagnostic Sciences,  Cornell University",USA,157
Oregon State Public Health Laboratory,USA,156
"Uhlemann Laboratory, Columbia University Irving Medical Center",USA,156
"Utah Public Health Laboratory,  Utah Public Health Laboratory Infectious Disease submission group",USA,155
"Institute for Computational Biomedicine,  Weill Cornell Medicine",USA,154
DNA SOLUTION LTD.,BGD,153
﻿Evandro Chagas Institute,BRA,153
CSIR-Centre for Cellular and Molecular Biology - INSACOG,IND,151
Laboratorio Nacional de Salud,GTM,150
Institute of Applied Biotechnologies a.s.,CZE,148
"CBRN Defence and Security, Swedish Defence Research Agency",SWE,147
"Lithuanian University of Health Sciences, Molecular cardiology lab.",LTU,147
"Protzer Lab, Institut für Medizinische Mikrobiologie und Hygiene, Gagneur Lab",DEU,147
"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts",MKD,147
Microbiological Diagnostic Unit Public Health Laboratory,AUS,146
Centogene,ALB; CZE; DEU; ESP; GTM; IRN; MOZ; ROU; RUS,145
"BioInfoExperts, LLC",USA,144
"Infectious Diseases,  Quest Diagnostics",USA,143
"University of Verona, Department of Biotechnology",ITA,142
South Dakota Public Health Laboratory,USA,142
Kruglyak Lab,USA,141
Kentucky State Public Health Lab,USA,140
"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia",MYS,139
"Molecular Microbiology & Immunology,  University of Missouri",USA,135
National Genomics Core- Center for DNA Fingerprinting and Diagnostics (NGC-CDFD)- DBT's PAN-INDIA-1000 Genome consortium,IND,135
UFS Virology,ZAF,134
NPHL COVID-19 Response Team,USA,133
"Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil",BRA,132
Ibaraki Prefectural Institute of Public Health,JPN,130
UNMC COVID-19 Response Team,USA,130
Houston Health Dept.,USA,130
MRC/UVRI & LSHTM Uganda Research Unit,UGA,130
"UMC Groningen, Clinical Virology, Department of Medical Microbiology and Infection Prevention",NLD,129
"Institut für Medizinische Virologie, Universitätsklinikum Frankfurt",DEU,129
"SeqCOVID-SPAIN consortium/Institute of Biomedicine of Valencia, IBV-CSIC",ESP,129
"Microbial Genomic Epidemiology Laboratory, University of Pittsburgh",USA,127
"Institute of Microbiology, Universidad San Francisco de Quito",ECU,126
Instituto Gulbenkian de Ciência,PRT,126
National Institute of Infectious Diseases (NIID),JPN,125
"Istitituto Zooprofilattico Sperimentale dell'Abruzzo e Molise ""G.Caporale""",ITA,122
inStem NCBS,IND,120
"Expert Microbiology, National Institute for Health and Welfare",FIN,119
"National Health Laboratory Service (NHLS), Tygerberg",ZAF,119
"Molecular biology division, Institute of Clinical Biochemistry and Diagnostics, Charles University, Faculty of Medicine in Hradec Králové and University Hospital Hradec Králové",CZE,119
Santa Clara County Public Health Laboratory,USA,118
Microbial Genome Sequencing Center; Microbial Genomic Epidemiology Laboratory,USA,117
HOSPITAL UNIVERSITARIO 12 DE OCTUBRE,ESP,117
"Wiedenheft lab, Montana State University",USA,117
"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",IDN,116
"Communicable Disease Laboratory,  Public Health Directorate",BHR,116
Al Jalila Genomics Center,ARE,115
"Robert Koch Institute, Influenza and respiratory viruses FG17 & Bioinformatics MF1, Berlin, Germany",DEU,115
Gibraltar Health Authority Covid-19 Laboratory,GBR,114
Swiss National Reference Centre for Influenza,CHE,112
Institute of Health and Community Medicine,MYS,112
IPEC Guarapuava,BRA,112
Delaware Public Health Laboratory,USA,112
Yale Center for Genomic Analysis,USA,111
"Human Genome Variation Research Group,  Malopolska Centre of Biotechnology",POL,110
"Beaconlab (Bioinformatics, Evolution and Comparative Genomics lab), Dept of Biosciences, University on Milan",ITA,109
"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics",CYP,109
"Laboratorio de Infectología Molecular, Departamento de Bioquímica y Medicina Molecular,Facultad de Medicina - Universidad Autónoma de Nuevo León",MEX,109
Hospital Universitario La Paz,ESP,109
"Department of Molecular Medicine, Computational Medicine Group, Univeresity of Padova, Padova, Italy",ITA,107
"Veterinary Specialized Institute ""Kraljevo"", Serbia",KOS; SRB,107
Maryland Department of Health,USA,106
"WallauLab, Aggeu Magalhaes Institute",BRA,104
"Albert Einstein College of Medicine, Dept. of Microbiology & Immunology, Chandran lab",USA,104
"Department of Immunology,  The Scripps Research Institute",USA,103
Bushman Lab - University of Pennsylvania,USA,101
"Centre for Clinical Infection and Diagnostics Research and Genomics Innovation Unit, Guy's and St. Thomas' NHS Trust",GBR,101
"West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana, Volta Road, Legon-Accra, Ghana",GHA,101
"Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University",BFA; RWA,101
"Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna (IZSLER), Risk Analysis and Genomic Epidemiology Unit",ITA,100
"Microbiology Service, Hospital Universitario Clinico San Cecilio, Granada",ESP,100
"Institute of Medical Virology, University of Zurich",CHE,100
CTvacinas,BRA,99
"Department of Medical Microbiology, Faculty of Medicine, University of Malaya",MYS,97
"Piantadosi Lab, Emory Department of Pathology",USA,97
"Microbiology Division, South Carolina Department of Health and Environmental Control",USA,96
University of Miami Immunology and Histocompatibility Laboratory,USA,96
MUSC Molecular Pathology Laboratory,USA,95
Baylor College of Medicine/ GCID,USA,95
"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center",CHN,94
"National Public Health Center, National Biosafety Laboratory",HUN,94
National Microbiology Laboratory,CAN,94
"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy",ITA,93
Mason Lab,USA,93
"Department of Neurovirology, National Institute of Mental Health and Neuroscience (NIMHANS)",IND,92
"genXone SA, Research & Development Laboratory",POL,92
"HUG, Laboratory of Virology and the Health2030 Genome Center",CHE,92
Biocódices SA. on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium),ARG,91
"Department of Public Health Microbiology Ljubljana, National Laboratory for Health, Environment and Food",SVN,91
"Instituto Nacional de Salud, Bogotá, Colombia",COL,91
"Genomics Program,  Children Cancer Hospital",EGY,90
Biotechnology & OMICs Laboratory,OMN,90
Irish Coronavirus Sequencing Consortium - Helixworks,IRL,90
Laboratorio de Infecciones Respiratorias Agudas,PER,89
Cornell Covid-19 Testing Laboratory,USA,89
National Centre For Cell Science – INSACOG,IND,89
Irish Coronavirus Sequencing Consortium - National University of Ireland Galway,IRL,88
Bundeswehr Institute of Microbiology,AFG; DEU; TUN,88
"Institute of Tropical Disease, Universitas Airlangga",IDN,88
Colorado State University - Ebel Lab,USA,88
"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University",CMR; NGA,87
"Institute of Virology, University Hospital, University of Bonn and German Center for Infection Research (DZIF), Bonn-Cologne, Bonn, Germany",DEU,87
"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute",CIV; COD,87
National Center of Infectious and Parasitic Diseases,BGR,87
"CHU Clermont-Ferrand, service de virologie",FRA,87
"IRBA, 2MI",FRA,87
Tampa General Hospital Esoteric Research & Development Lab,USA,86
INMI Lazzaro Spallanzani IRCCS,ITA,85
"Genetics Research Center, University of Social Welfare and Rehabilitation Sciences",IRN,85
"Molecular/Surveillance lab
Sheikh Khalifa Medical City",ARE,84
Pennsylvania Department of Health Bureau of Laboratories,USA,84
Malaysia Genome Institute,MYS,84
"Diagnostic and Research Center of Infectious Diseases, Medical Faculty, Andalas University",IDN,83
LHUB-ULB,BEL,83
Shimane Prefectural Institute of Public Health and Environmental Science,JPN,83
"Faculty of Natural Sciences, Comenius University, Bratislava",SVK,82
Schwessinger Lab,AUS,82
Irish Coronavirus Sequencing Consortium-Teagasc Grange,IRL,82
National Health Laboratory Service/UCT,ZAF,82
"School of Public Health, The University of Hong Kong",CHN; HKG,81
"Grupo de Investigaciones Microbiológicas-UR (GIMUR), Departamento de Biología, Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia
Instituto Nacional de Salud, Bogotá, Colombia
Icahn School of Medicine at Mount Sinai, New York, USA",COL,81
Telethon Institute of Genetics and Medicine (TIGEM),ITA,81
Egyptian National Cancer Institute (ENCI),EGY,81
"Genome Analysis Center, Yamanashi Central Hospital",JPN,80
National Centre for Biological Sciences,IND,80
"Department of Neurovirology, National Institute of Mental Health and Neurosciences (NIMHANS)",IND,79
"NGS Lab,  DNA SOLUTION LTD.",BGD,79
"Infectious Disease Core Research,  Abbott Diagnostics Division",USA,79
"Center for Mathematical Modeling and Center for Genome Regulation. Santiago, Chile",CHL,79
"Microbial Genome Sequencing Center, Microbial Genomic Epidemiological Laboratory",USA,78
University of Minnesota Genomics Center,USA,77
"""Stefan cel Mare"" University Metagenomics Lab",ROU,76
"Institute of Virology
Department of Hygiene, 
Microbiology and Public Health 
at Innsbruck Medical University",AUT; ITA,76
Department of Microbiology and Immunology-SQUH,OMN,76
"Clinical Research Center, National Hospital Organization Nagoya Medical Center",JPN,75
Instituto Carlos Chagas - Fiocruz,BRA,75
IISER Pune,IND,75
Microvida,NLD,75
Institut Pasteur de Montevideo,URY,75
Institute of Tropical Medicine,BEL; DEU; ZMB,75
"Stanford University School of Medicine, Clinical Virology Laboratory",USA,74
Abbott Laboratories,SEN,74
National Institute of Health Research and Development,IDN,74
"Molecular Virology Unit, Microbiology and Virology Depertment, Fondazione IRCCS Policlinico San Matteo, Pavia",ITA,73
